71;scroll_lock;pause,home,print_scrn;page_up,end,insert,f11
72;pause;page_up,scroll_lock;num_lock,page_down,home,print_scrn
73;insert;home,delete,backspace,print_scrn;page_up,end,enter,backspace,vinohipsu,f11,f12,scroll_lock
74;home;page_up,end,insert,scroll_lock;num_lock,page_down,arrow_up,enter,backspace,f12,print_scrn,pause
75;page_up;num_lock,page_down,home,pause;num_slash,num_7,end,insert,scroll_lock
76;delete;end,enter,insert;page_down,arrow_up,tuplapiste,backspace,print_scrn,home
77;end;page_down,arrow_up,delete,home;num_7,arrow_down,enter,insert,scroll_lock,page_up
78;page_down;num_7,end,page_up;num_8,num_4,arrow_up,end,home,pause,num_lock
79;arrow_right;num_0,arrow_down;num_comma,arrow_left,arrow_up,num_1
80;arrow_left;arrow_down,right_ctrl;arrow_right,sysmenu,right_shift,arrow_up
81;arrow_down;arrow_right,arrow_left,arrow_up;num_0,right_ctrl
82;arrow_up;arrow_right,arrow_left,arrow_down;num_1,right_shift
83;num_lock;num_slash,num_8,num_7,page_up;num_star,num_9,num_5,num_4,page_down,home,pause
84;num_slash;num_star,num_9,num_8,num_7,num_lock;num_minus,num_plus,num_6,num_5,num_7,page_up
85;num_star;num_minus,num_plus,num_9,num_8,num_slash;num_6,num_5,num_7,num_lock
86;num_minus;num_plus,num_9,num_star;num_6,num_5,num_8,num_slash
87;num_plus;num_enter,num_3,num_6,num_9,num_star,num_minus;num_comma,num_2,num_5,num_8,num_slash
88;num_enter;num_comma,num_3,num_6,num_plus;num_0,num_2,num_5,num_9,num_minus
89;num_1;num_2,num_0,num_4,num_5;num_3,num_comma,arrow_right,num_7,num_8,num_6,num_enter
90;num_2;num_3,num_comma,num_0,num_1,num_4,num_5,num_6;num_enter,num_7,num_8,num_6
91;num_3;num_enter,num_comma,num_0,num_2,num_5,num_6,num_plus;num_1,num_4,num_8,num_9
92;num_4;num_5,num_2,num_1,num_7,num_8;num_6,num_3,num_0,page_down,num_lock,num_slash,num_9
93;num_5;num_6,num_3,num_2,num_1,num_4,num_7,num_8,num_9;num_plus,num_enter,num_comma,num_0,num_lock,num_slash,num_star
